symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
AVAXUSDT,72,78,1771566300,1771572600,LONG,TRAIL,8.993,9.08424413,9.44922067,8.84092644,1.3709374920142439,1.2378818181679816,0.13305567384626246,15,2.93,64.41,0.23076923076923078,0.005417475886548999,1.789372220621743,base,adaptive disabled,1.0,69.7,55,87,70,80,OFF_HOURS,bullish,neutral,FVG,BOS bullish | Vol 2.9x | FVG | LiqSweep | ChoCH | Engulfing | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,range,0.046,1.7207,3.429,0.0927,2.558,1.0,0.0227,1.125,72,0,1,1.086,-1.0,0,0.763,0
BTCUSDT,72,88,1771566300,1771581600,LONG,TRAIL,67700.2,68193.96178241,70169.00891203,66877.26369599,0.18600716819490234,0.13394781365708208,0.05205935453782024,14,3.51,66.67,0.31654860459162726,0.005222622125534167,2.0696911549507435,base,adaptive disabled,1.0,69.7,55,87,70,80,OFF_HOURS,bullish,neutral,FVG,BOS bullish | Vol 3.5x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 14,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,1,-1.0,bear,0.0792,1.0076,1.936,0.186,2.399,1.0,0.087,0.31640625,72,0,1,1.477,-1.0,0,0.967,0
SOLUSDT,86,102,1771578900,1771594200,LONG,SL,84.16,85.49758659,90.84793293,81.93068902,-1.1303941094839989,-1.2153351525680824,0.08494104308408354,13,1.5,66.43,0.2994923857868039,0.006545972929392944,1.537368499419324,base,adaptive disabled,1.15,65.2,55,95,50,80,LONDON,bullish,neutral,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | Engulfing | Session:LONDON | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,0,-1.0,bull,1.0855,0.471,0.541,0.0605,1.934,1.0,0.4288,1.125,86,0,1,0.826,-1.0,0,0.551,3
SEIUSDT,106,111,1771596900,1771602300,SHORT,SL,0.07047,0.06945,0.06793308,0.07131564,-0.9877873563218466,-1.093256106321847,0.10546875000000067,16,5.08,32.16,0.4761904761904799,0.0047130415933308925,1.5190989993381856,base,adaptive disabled,1.0,78.2,55,100,90,80,NEW_YORK,bearish,neutral,FVG,BOS bearish | Vol 5.1x | FVG | ChoCH | Session:NEW_YORK | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | NestedOB_1h+2,0,0,-1.0,bear,1.5609,0.7549,7.5,-0.2579,2.465,1.0,-0.3066,0.6328125,101,35,3,1.624,2.139,1,3.05,0
HYPEUSDT,114,141,1771604100,1771629300,LONG,TRAIL,29.746,30.370666,32.86933,28.70489,1.1271630517019031,1.020020194559046,0.10714285714285716,14,1.81,61.01,0.4999999999999984,0.017394879150649568,2.8996077529744384,base,adaptive disabled,1.25,70.2,55,90,70,80,NEW_YORK,bullish,neutral,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | Engulfing | Session:NEW_YORK | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.2248,1.0854,0.0,0.1098,1.242,1.0,0.1468,1.875,114,1,2,0.453,-1.0,0,0.972,0
LINKUSDT,114,305,1771604100,1771776900,LONG,EXPIRED,8.864,9.050144,9.79472,8.55376,0.0,-0.11428571428571419,0.11428571428571419,13,2.91,71.06,0.7604790419161662,0.012261578154613465,2.8430291618826438,base,adaptive disabled,1.15,70.2,55,90,70,80,NEW_YORK,bullish,neutral,FVG,BOS bullish | Vol 2.9x | FVG | ChoCH | Engulfing | Session:NEW_YORK | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | RelStrengthRisk:1.15,0,0,-1.0,range,0.664,0.9562,0.0,-0.0299,2.108,1.0,0.2492,2.0,114,0,1,0.566,-1.0,0,0.816,0
LABUSDT,125,154,1771614000,1771641000,SHORT,TRAIL,0.14771,0.14460809,0.13220045,0.15287985,2.1376465205464714,2.023360806260757,0.11428571428571421,13,2.73,33.09,0.6162601626016185,0.014806383386118402,1.2150086026905684,base,adaptive disabled,1.0,72.2,55,100,70,80,DEAD_ZONE,bearish,neutral,FVG,BOS bearish | Vol 2.7x | FVG | ChoCH | Zone:FVG | MTF 13,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE,0,0,0.5,range,0.1219,1.7022,2.544,-0.1745,1.882,1.0,-0.4301,2.0,125,1,2,1.083,2.248,0,0.821,1
SOLUSDT,156,190,1771641900,1771673400,LONG,TRAIL,84.73,85.340056,87.78028,83.71324,0.6916801936054834,0.551055193605484,0.1406249999999993,13,1.48,58.72,0.2131147540983534,0.002869167125817486,0.5735601711521954,base,adaptive disabled,1.15,64.2,55,75,60,80,OFF_HOURS,bullish,neutral,OB,BOS bullish | Vol 1.5x | FVG | OB | ChoCH | Zone:OB | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,0,0.725,range,0.8065,1.4917,1.529,0.07,2.661,1.0,0.2834,0.84375,155,29,1,0.616,1.664,1,1.91,0
DOTUSDT,168,182,1771652700,1771666200,LONG,TRAIL,1.353,1.37301357,1.45306786,1.31964405,0.7943914799580997,0.743054593285707,0.051336886672392744,14,3.06,69.68,0.42857142857142855,0.005420859108324471,1.0423537657638147,base,adaptive disabled,1.25,78.2,55,100,90,80,OFF_HOURS,bullish,neutral,FVG,BOS bullish | Vol 3.1x | FVG | ChoCH | BullWick | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.6,range,0.1799,1.2492,3.6,0.3262,3.239,1.0,0.184,0.6328125,166,0,2,2.517,0.629,1,1.259,0
LINKUSDT,183,203,1771666200,1771685100,LONG,TRAIL,8.938,9.0035897,9.26594852,8.82868383,0.802818922678352,0.5441162017085298,0.2587027209698222,16,2.2,63.74,0.5882352941176586,0.0038801529009846575,1.4994260427972805,base,adaptive disabled,1.0,78.2,55,100,90,80,LONDON,bullish,neutral,FVG,BOS bullish | Vol 2.2x | FVG | ChoCH | Session:LONDON | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | NestedOB_1h+2,0,0,0.55,range,0.4025,1.5856,6.667,0.2246,2.515,1.0,0.4696,1.58203125,183,0,4,2.736,0.532,1,1.596,2
